site.id,study.id,citations.title,site.sitename,site.state,site.country,lat_dec,long_dec
2384,1000,A New Model for Size-Dependent Tree Growth in Forests,Okoppe 1,Hokkaido,Japan,44.35,143.05
2385,1000,A New Model for Size-Dependent Tree Growth in Forests,Bibai,Hokkaido,Japan,43.266667,141.866667
2386,1000,A New Model for Size-Dependent Tree Growth in Forests,Okoppe 2,Hokkaido,Japan,44.283333,142.95
3628,1008,Determinants of aboveground carbon offset additionality in plantation forests in a moist tropical forest in western Kenya,Kakamega Forest,,Kenya,0.258333,34.875
2015,1026,Carbon storage and sequestration of re-growing montane forests in southern Ecuador,Buenaventura,El Oro,Ecuador,-3.7,-79.7
2016,1026,Carbon storage and sequestration of re-growing montane forests in southern Ecuador,Tapichalaca,NA,Ecuador,-4.5,-79.1
2354,1031,Tropical secondary forests regenerating after shifting cultivation in the Philippines uplands are important carbon sinks,Barangay Gaas,Leyte Island,Philippines,10.424794,123.752959
7,1097,Biomass resilience of Neotropical secondary forests,Cajueiro,,Brazil,-14.98,-43.9
8,1097,Biomass resilience of Neotropical secondary forests,Chinantla,,Mexico,17.75,-96.65
9,1097,Biomass resilience of Neotropical secondary forests,Lacandona,,Mexico,16.54,-90.96
11,1097,Biomass resilience of Neotropical secondary forests,Marques de Comillas,Chiapas,Mexico,16.33,-90.67
14,1097,Biomass resilience of Neotropical secondary forests,Sao Paulo,NA,Brazil,-22.32,-47.57
15,1097,Biomass resilience of Neotropical secondary forests,Serra do Cipo,,Brazil,-19.35,-43.62
16,1097,Biomass resilience of Neotropical secondary forests,Zona Norte,,Mexico,17.27,-91.66
3821,1222,Biomass production and nitrogen balance of naturally afforested silver birch (Betula pendula Roth.) stand in Estonia,Kambja,,Estonia,58.233333,26.733333
3644,1271,"Biomass of karst evergreen and deciduous broad-leaved mixed forest in central Guizhou province, southwestern China: a comprehensive inventory of a 2 ha plot",TianlongshanÊ,Guizhou Province,China,26.233333,105.75
2302,1394,Changes in the diversity of evergreen and deciduous species during natural recovery following clear-cutting in a subtropical evergreen-deciduous broadleaved mixed forest of central China,Mulinzi National Nature Reserve,Hubei Province,China,30.041667,110.133333
2175,1436,Development of allometric models for above and belowground biomass in swidden cultivation fallows of Northern Laos,Moungmouay,Luang Prabang Province,Laos,20.271111,103.048611
2077,1599,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",Lianjiabian S0,Gansu Province,China,36.074167,108.418056
3864,1599,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",Lianjiabian S1,Gansu Province,China,36.088611,108.526667
3865,1599,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",Lianjiabian S2,Gansu Province,China,36.081111,108.530556
3866,1599,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",Lianjiabian S3,Gansu Province,China,36.087778,108.529722
3867,1599,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",Lianjiabian S4,Gansu Province,China,36.049167,108.528056
2110,1636,Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest,Itatiaia,Rio de Janeiro,Brazil,-22.466944,-44.581111
2048,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 1,Amazonas,Brazil,-2.796569,-60.152554
2049,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 12,Amazonas,Brazil,-2.815155,-60.106359
2050,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 18,Amazonas,Brazil,-2.799004,-60.106674
2051,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 19,Amazonas,Brazil,-2.798581,-60.106514
2052,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 20,Amazonas,Brazil,-2.817045,-60.104481
2053,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 21,Amazonas,Brazil,-2.816963,-60.104897
2054,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 22,Amazonas,Brazil,-2.790398,-60.125875
2055,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 23,Amazonas,Brazil,-2.790535,-60.124866
2056,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 24,Amazonas,Brazil,-2.79738,-60.105455
2057,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 2,Amazonas,Brazil,-2.801333,-60.153363
2058,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 3,Amazonas,Brazil,-2.803794,-60.154151
2059,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 4,Amazonas,Brazil,-2.80602,-60.153937
2060,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 5,Amazonas,Brazil,-2.818505,-60.159235
2061,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 6,Amazonas,Brazil,-2.869266,-60.170369
2062,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 7,Amazonas,Brazil,-2.834068,-60.159102
2063,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 8,Amazonas,Brazil,-2.798048,-60.104611
2064,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 9,Amazonas,Brazil,-2.793297,-60.115588
2065,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 10,Amazonas,Brazil,-2.81284,-60.105894
2066,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 11,Amazonas,Brazil,-2.814336,-60.106469
2067,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 13,Amazonas,Brazil,-2.796142,-60.106183
2068,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 14,Amazonas,Brazil,-2.796306,-60.106016
2069,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 15,Amazonas,Brazil,-2.797307,-60.105431
2070,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 16,Amazonas,Brazil,-2.797022,-60.105893
2071,1819,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,Turum‹-Mirim 17,Amazonas,Brazil,-2.796158,-60.10586
385,1879,Changes in nitrogen and phosphorus limitation during secondary succession in a karst region in southwest China,Guzhou,Guangxi Province,China,24.908333,107.941667
3538,1945,"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",Roxton Falls,Quebec,Canada,45.569722,-72.531111
13978,1945,"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",Magog,Quebec,Canada,45.255988,-72.152457
13979,1945,"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",St. Isidore,Quebec,Canada,46.5804,-71.088414
3789,2058,"Carbon Storage and Allocation Pattern in Plant Biomass among Different Forest Plantation Stands in Guangdong, China",Heshan,Guangdong Province,China,22.566667,112.833333
3651,2148,Estimating changes in soil organic carbon storage due to land use changes using a modified calculation method,Xishuangbanna National Tropical Rain Forest Reserve,Yunnan Province,China,21.85,100.766667
2179,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,La Cuchilla,,Mexico,17.783333,-91.216667
2180,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,Tila,,Mexico,17.45,-92.35
13958,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,Yumka,,Mexico,18,-92.816667
13959,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,Rieles de San Jose,,Mexico,17.316667,-91.35
13960,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,Veteranos de la Revolucion,,Mexico,17.383333,-91.35
13961,2161,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,Ninos Heroes,,Mexico,17.25,-91.4
3541,2236,DISTRIBUTION OF ORGANIC CARBON IN DIFFERENT SOIL FRACTIONS IN ECOSYSTEMS OF CENTRAL AMAZONIA,Biological Dynamics of Forest Fragments Project,Amazonas,Brazil,-2.418611,-59.880833
3732,2236,DISTRIBUTION OF ORGANIC CARBON IN DIFFERENT SOIL FRACTIONS IN ECOSYSTEMS OF CENTRAL AMAZONIA,BR-174,Amazonas,Brazil,-2.533333,-60.033333
441,2244,"FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",La Colision,Chubut,Argentina,-42.95,-71.5
442,2244,"FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",La Torta,Chubut,Argentina,-42.85,-71.55
2286,2255,Biomass production of coppiced grey alder and the effect of fertilization,Muhos Peatland,Ostrobothnia,Finland,64.866667,26.066667
2287,2255,Biomass production of coppiced grey alder and the effect of fertilization,Juuka Mineral,North Carelia,Finland,63.05,29.666667
3759,2287,"Land use legacy effects on structure and composition of subtropical dry forests in St. Croix, US Virgin Islands",Young Pasture,US Virgin Islands,United States,17.739322,-64.784867
13964,2287,"Land use legacy effects on structure and composition of subtropical dry forests in St. Croix, US Virgin Islands",Plantation Forest,US Virgin Islands,United States,17.736983,-64.753539
13967,2287,"Land use legacy effects on structure and composition of subtropical dry forests in St. Croix, US Virgin Islands",Old Pasture,US Virgin Islands,United States,17.74495,-64.774928
18,2298,Testing Chronosequences through Dynamic Approaches: Time and Site Effects on Tropical Dry Forest Succession,Chamela-Cuixmala,Jalisco,Mexico,19.441667,-105
3662,2382,"Carbon stocks, tree diversity, and the role of organic certification in different cocoa production systems in Alto Beni, Bolivia",Alto Beni,,Bolivia,-15.605278,-67.251389
2161,2416,"Soil and vegetation transformation in abandoned vineyards of the Tokaj Nagy-Hill, Hungary",Tokaj Nagy-Hill,,Hungary,48.1175,21.38
3723,2542,Changes in soil organic carbon and nitrogen following forest expansion on grassland in the Southern Alps,Neoboschi,Trentino,Italy,45.94584,11.25148
3514,2735,Soil quality indicators for different restoration stages on Amazon rainforest,Presidente Figueiredo DEGR,Amazonas,Brazil,-1.931111,-59.496389
304,2771,Stand age and soils as drivers of plant functional traits and aboveground biomass in secondary tropical dry forest,Parque Nacional Palo Verde: area de Conservacion Tempisque,Guanacaste,Costa Rica,10.383618,-85.334663
2444,2850,Root and shoot biomasses in the tropical dry forest of semi-arid Northeast Brazil,Tamandu‡,Para’ba,Brazil,-6.995556,-37.323056
2241,2963,Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting,Chippewa,Minnesota,United States,47.32,-94.55
2242,2963,Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting,Huron,Michigan,United States,44.57,-83.98
2243,2963,Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting,Ottawa,Michigan,United States,46.63,-89.25
19,3017,Integrating Stand and Soil Properties to Understand Foliar Nutrient Dynamics during Forest Succession Following Slash-and-Burn Agriculture in the Bolivian Amazon,Molienda slash-and-burned forest recovery chronosequence,Pando,Bolivia,-11.441111,-69.158333
434,3037,Field observed relationships between biodiversity and ecosystem functioning during secondary succession in a tropical lowland rainforest,Bawangling,Hainan Island,China,19.033333,109.108333
3703,3120,"The nutrient accumulation pattern and cycling in natural secondary forests in North China. A case study from the Caijiachuan watershed, Shanxi Province",Caijiachuan watershed,Shanxi Province,China,36.266667,110.716667
2273,3217,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",Lianjiabian Afs,Gansu Province,China,36.084722,108.5325
2274,3217,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",Lianjiabian Hs,Gansu Province,China,36.088889,108.526944
13980,3217,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",Lianjiabian Ss,Gansu Province,China,36.082778,108.531389
13981,3217,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",Lianjiabian Pas,Gansu Province,China,36.048611,108.529167
243,3452,Key role of symbiotic dinitrogen fixation in tropical forest secondary succession,Agua Salud,,Panama,9.216667,-79.783333
3884,3504,"Self-restoration of post-agrogenic Albeluvisols: Soil development, carbon stocks and dynamics of carbon pools",Sirchini Arable,,Russia,59.2,50.7
3885,3504,"Self-restoration of post-agrogenic Albeluvisols: Soil development, carbon stocks and dynamics of carbon pools",Sirchini Chronosequence,,Russia,59.216667,50.433333
2283,3510,"Floristic composition, species diversity and carbon storage in charcoal and agriculture fallows and management implications in Miombo woodlands of Zambia",Mwekera/Katanino,Copperbelt Province,Zambia,-13.208333,28.533333
310,3514,"Establishment of allometric models and estimation of biomass recovery of swidden cultivation fallows in mixed deciduous forests of the Bago Mountains, Myanmar",Bago Mountain swidden cultivation fallows chronosequence,Bago,Myanmar,18.875,95.875
2121,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",Miel NC1,Caldas,Colombia,5.563333,-74.904167
2122,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",Miel NC2,Caldas,Colombia,5.553889,-74.9275
2123,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",Miel NC3,Caldas,Colombia,5.565833,-74.9275
2124,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",Miel NC4,Caldas,Colombia,5.561667,-74.913611
2125,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",Miel NC5,Caldas,Colombia,5.554167,-74.893056
2126,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",San Rafael EA1,Antioquia,Colombia,6.373056,-75.025278
2127,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",San Rafael EA2,Antioquia,Colombia,6.391944,-75.038889
2128,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",San Rafael EA3,Antioquia,Colombia,6.358889,-75.0075
2129,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",San Carlos EA4,Antioquia,Colombia,6.204444,-74.851389
2130,3586,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",San Carlos EA5,Antioquia,Colombia,6.220833,-74.85
3710,3646,Restoring ecosystem carbon sequestration through afforestation: A sub-tropic restoration case study,Taihe County,Jiangxi Province,China,26.733333,115.066667
2401,3701,"Wood biomass functions for Acacia abyssinica trees and shrubs and implications for provision of ecosystem services in a community managed exclosure in Tigray, Ethiopia",DeguÕa Tembien,Tigray,Ethiopia,13.583333,39.1
3767,3748,Does biomass production depend on plant community diversity?,Sobral,Ceara,Brazil,-3.683333,-40.333333
22,3773,"Carbon stocks and accumulation rates in tropical secondary forests at the scale of community, landscape and forest type",El Ocote biosphere preserve,Chiapas,Mexico,16.955833,-93.630556
2229,3871,Carbon and nitrogen distribution across a chronosequence of secondary lacebark pine in China,Xiaolongshan Mountain,Gansu Province,China,33.910556,106.195556
386,3953,"Linking litter production, quality and decomposition to vegetation succession following agricultural abandonment",Foping,,China,33.558333,107.833333
3140,4045,Stability of soil organic carbon in agro and forest ecosystems on Arenosol,Perloja Experimental Station,,Lithuania,54.166667,24.416667
3538,4149,"Root biomass and soil carbon distribution in hybrid poplar riparian buffers, herbaceous riparian buffers and natural riparian woodlots on farmland",Roxton Falls,Quebec,Canada,45.569722,-72.531111
13978,4149,"Root biomass and soil carbon distribution in hybrid poplar riparian buffers, herbaceous riparian buffers and natural riparian woodlots on farmland",Magog,Quebec,Canada,45.255988,-72.152457
13979,4149,"Root biomass and soil carbon distribution in hybrid poplar riparian buffers, herbaceous riparian buffers and natural riparian woodlots on farmland",St. Isidore,Quebec,Canada,46.5804,-71.088414
388,4241,Effects of fire on above-ground forest biomass in the northern Brazilian Amazon,Fire Arc,Roraima,Brazil,2.5,-61.375
2116,4262,"QUANTIFYING BIOMASS OF SECONDARY FOREST AFTER SLASH-AND-BURN CULTIVATION IN CENTRAL MENABE, MADAGASCAR",Andranolav,,Madagascar,-19.966667,44.6
3826,4322,Pattern of carbon allocation across three different stages of stand development of a Chinese pine (Pinus tabulaeformis) forest,Jiuduhe,,China,40.358333,116.425
2090,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 2 burn,Arizona,United States,35.302222,-111.590833
2092,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 6 burn,Arizona,United States,35.295,-111.681111
2094,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 7 burn,Arizona,United States,35.274722,-111.813056
2096,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 11 burn,Arizona,United States,35.443611,-111.773889
2098,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 23 burn,Arizona,United States,35.350833,-111.934722
2100,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 30 burn,Arizona,United States,35.265556,-111.581944
13982,4395,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,Coconino Kaibab 34 burn,Arizona,United States,35.4475,-111.723056
397,4404,Selection and interpretation of soil quality indicators for forest recovery after clearing of a tropical montane cloud forest in Mexico,El Rincon,Oaxaca,Mexico,17.375,-95.333333
2074,4457,"Interactions of vegetation succession, soil bio-chemical properties and microbial communities in a Karst ecosystem",Huanjiang succession,Guangxi Province,China,24.833333,107.916667
2289,4476,Influence of time since fire on pinyon-juniper woodland structure,Jacket,Arizona,United States,35.063889,-111.356944
2290,4476,Influence of time since fire on pinyon-juniper woodland structure,Griffin,Arizona,United States,35.991944,-111.23
2291,4476,Influence of time since fire on pinyon-juniper woodland structure,Lizard,Arizona,United States,35.151111,-111.35
2292,4476,Influence of time since fire on pinyon-juniper woodland structure,Yellow Jacket,Arizona,United States,35.038056,-111.311111
13983,4476,Influence of time since fire on pinyon-juniper woodland structure,Dillman,Arizona,United States,35.811944,-112.026944
13984,4476,Influence of time since fire on pinyon-juniper woodland structure,Arnold,Arizona,United States,35.196944,-111.458056
13985,4476,Influence of time since fire on pinyon-juniper woodland structure,Red Butte west,Arizona,United States,35.798056,-112.02
3575,4491,Carbon stocks across a chronosequence of thinned and unmanaged red pine (Pinus resinosa) stands,Chippewa National Forest chronosequence,Minnesota,United States,47.341,-94.207
7575,4581,"Changes in soil nutrient and enzyme activities under different vegetations in the Loess Plateau area, Northwest China",Ansai Research Station,Shaanxi Province,China,36.776389,109.247778
2271,4757,Land-use/cover change effects and carbon controls on volcanic soil profiles in highland temperate forests,Cofre de Perote,Veracruz,Mexico,19.5,-97.125
3572,4772,"Soil carbon buildup and bioeconomics of different lanuduses in humid subtropics of West Bengal, India",West Bengal,,India,26.716667,89
2505,4810,Carbon and plant diversity gain during 200 years of woody succession in lowland New Zealand,Hinewai Reserve,,New Zealand,-43.833333,173.066667
2506,4810,Carbon and plant diversity gain during 200 years of woody succession in lowland New Zealand,Queen Charlotte Wilderness/Cape Lambert,,New Zealand,-41.033333,174.266667
3677,4833,Effect of African Mahogany Species on Soil Chemical Properties in Degraded Dry Semi-deciduous Forest Ecosystems in Ghana,Dormaa District,,Ghana,7.5,-3.5
3901,4839,Calling activity of the common tink frog (Diasporus diastema) (Eleutherodactylidae) in secondary forests of the Caribbean of Costa Rica,Sarapiqui,Heredia,Costa Rica,10.433333,-86.983333
3529,4869,Soil chemical properties in abandoned Mediterranean cropland after succession and oak reforestation,Abandoned cropland,,Spain,40.05,-4.4
2319,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Chiusa Pesio,Cuneo,Italy,44.187222,7.705833
2320,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Forgaria del Friuli,Udine,Italy,46.222222,12.976389
2324,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Trappeto,Palermo,Italy,38.066389,13.045556
2325,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Santa Ninfa,Trapani,Italy,37.769167,12.875556
2327,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,San Martino,Palermo,Italy,38.207222,15.391944
2328,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Giacalone,Palermo,Italy,38.033889,13.23
2329,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Maletto,Catania,Italy,37.827222,14.860833
2330,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Zafferana Etnea,Catania,Italy,37.684444,15.054444
13986,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Trasaghis,Udine,Italy,46.287503,13.078102
13987,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Faedis,Udine,Italy,46.151432,13.336507
13988,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Taipana,Udine,Italy,46.250725,13.339259
13989,4923,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,Misilmeri,Palermo,Italy,38.04459,13.453355
3508,5152,"Links between plant diversity, carbon stocks and environmental factors along a successional gradient in a subalpine coniferous forest in Southwest China",Wanglang Nature Reserve,,China,32.925,104.041667
435,5196,Below-ground secondary succession in tropical forests of Borneo,Barito Ulu,Central Kalimantan,Indonesia,-1.1,114
2154,5252,The effects of clear-felling subalpine coniferous forests on soil physical and chemical properties in the eastern Tibetan Plateau,Zamtang,Sichuan Province,China,32.35,100.733333
2164,5278,Soil carbon dynamics under young tropical secondary forests on former pastures-A case study from Panama,Agua Salud,,Panama,9.207778,-79.748056
13971,5307,Forest natural regeneration and biomass production after slash and burn in a seasonally dry forest in the Southern Brazilian Amazon,Caiabai Farm,Mato Grosso,Brazil,-9.944444,-53.336111
2254,5317,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",Alekhin Central-Chernozem Biosphere 8,,Russia,51.539167,36.075833
2255,5317,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",Alekhin Central-Chernozem Biosphere 19,,Russia,51.550556,36.133889
2256,5317,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",Alekhin Central-Chernozem Biosphere Arable,,Russia,51.539167,36.073611
13990,5317,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",Alekhin Central-Chernozem Biosphere 37,,Russia,51.571517,36.086583
13991,5317,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",Alekhin Central-Chernozem Biosphere 59,,Russia,51.5384,36.305483
